character,wb
工,"a"
式,"aa"
恭恭敬敬,"aaaa"
工期,"aaad"
葡萄牙,"aaah"
花花世界,"aaal"
工艺,"aaan"
工区,"aaaq"
工匠,"aaar"
劳苦功高,"aaay"
式子,"aabb"
草草了事,"aabg"
工职,"aabk"
茕茕孑立,"aabu"
戒除,"aabw"
萨其马,"aacn"
式,aad
工友,"aadc"
蘛,"aade"
工厂,"aadg"
藄,"aadi"
匿,"aadk"
葚,"aadn"
茙,"aadr"
萁,"aadw"
工矿,"aady"
勤工助学,"aaei"
苷,"aaf"
工地,"aafb"
甙,"aafd"
蓬蓬勃勃,"aaff"
葡萄干,"aafg"
苏东坡,"aafh"
工场,"aafn"
工夫,"aafw"
蘳,"aagf"
蘣,"aagg"
工整,"aagk"
戒严,"aago"
勤劳致富,"aagp"
戒毒,"aagx"
芽,"aah"
菣,"aahc"
茞,"aahh"
藖,"aahm"
芽,aaht
工具,"aahw"
蕥,"aahy"
卧薪尝胆,"aaie"
葡萄汁,"aaif"
落花流水,"aaii"
工党,"aaip"
戒酒,"aais"
工艺流程,"aait"
牙牙学语,"aaiy"
工时,"aajf"
蒸蒸日上,"aajh"
戒,"aak"
蓳,"aakg"
工艺品,"aakk"
葡萄园,"aalf"
戒赌,"aamf"
蒆,"aamv"
茿,"aamy"
苣,"aan"
苣,aanf
戒惧,"aanh"
茿,aany
戒心,"aany"
工业,"aaog"
戒烟,"aaol"
葡萄糖,"aaoy"
工农,"aape"
切切实实,"aapp"
苉,"aaqb"
蔚蓝色,"aaqc"
茫茫然,"aaqd"
工钱,"aaqg"
匿名,"aaqk"
工贸,"aaqy"
工兵,"aarg"
戒掉,"aarh"
芭蕾舞,"aarl"
熙熙攘攘,"aarr"
戒指,"aarx"
戒护,"aary"
工本,"aasg"
式样,"aasu"
荛,"aat"
工程,"aatk"
戒备,"aatl"
式微,"aatm"
蘙,"aatn"
荛,aatq
工科,"aatu"
戒律,"aatv"
芅,"aau"
工装,"aauf"
工商,"aaum"
工资,"aauq"
工艺美术,"aaus"
苆,"aavb"
戒刀,"aavn"
苆,aavr
勤勤恳恳,"aavv"
莁,"aaw"
花花公子,"aawb"
工会,"aawf"
勤工俭学,"aawi"
劳燕分飞,"aawn"
工件,"aawr"
欧共体,"aaws"
工作,"aawt"
匶,"aawv"
工人,"aaww"
医药费,"aaxj"
工序,"aayc"
工读,"aayf"
东莞市,"aaym"
匿迹,"aayo"
节,"ab"
若隐若现,"abag"
节能,"abce"
菆,"abcu"
藂,"abcw"
英联邦,"abdt"
节奏,"abdw"
荫,"abe"
荫,abef
节肢,"abef"
蘟,"aben"
茸,"abf"
节支,"abfc"
蔯,"abg"
节烈,"abgq"
邛,"abh"
节目,"abhh"
节点,"abhk"
蒸,"abi"
菡,"abib"
节水,"abii"
节油,"abim"
